Product Name,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
"Great Value Smooth Peanut Butter 400, G",29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
"Black Cat Smooth Peanut Butter 800, G",67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99
"Melrose Cheese Spread Sweetmilk 400, G",49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99,49.99
"Miami Hot Vegetable Atchar 400, G",34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
"Bull Brand Canned Corned Meat 300, G",24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99
"C&B Tangy Mayonnaise 750, G",34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99
"Jacobs Kronung Coffee 100, G",79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99
"Five Roses Black Leaf Tea 250, G",45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99,45.99
Joko Tagless Teabags 100 Pack,35.99,35.99,35.99,35.99,44.99,44.99,44.99,35.99,35.99,35.99,35.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,31.99
"Flying Fish Apple NRB 330ML 330, ML",,,,,,,,,,,,12.99,12.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,13.99,12.99,12.99,12.99,12.99,12.99,12.99
