Product Name,2021-11-18
"Great Value Smooth Peanut Butter 400, G",29.99
"Black Cat Smooth Peanut Butter 800, G",67.99
"Melrose Cheese Spread Sweetmilk 400, G",49.99
"Miami Hot Vegetable Atchar 400, G",34.99
"Bull Brand Canned Corned Meat 300, G",24.99
"C&B Tangy Mayonnaise 750, G",34.99
"Jacobs Kronung Coffee 100, G",79.99
"Five Roses Black Leaf Tea 250, G",45.99
Joko Tagless Teabags 100 Pack,44.99
"Bull Brand Canned Corned Meat 300, G",24.99
"Jacobs Kronung Coffee 100, G",79.99
"Lion Lager Beer 750, ML",12.99
"Sunlight Hand Washing Powder Regular 2, KG",45.0
"Domestos Liquid Lemon 750, ML",33.99
"Ellis Brown 750, G",42.99
"Nescafe Classic Coffee 200, G",89.99
"Fattis&Monis Pasta SPAGHETTI 500, G",13.99
"Nestle Milo Chocolate Malt Drink 1, KG",109.0
"Protex Milk Protein Soap 150, G",13.99
"Ouma Rusks Buttermilk 500, G",49.99
"Nestle Aero-Giant Milk 90, G",19.49
"Cadbury  Dairy Milk Biscuit 80, G",15.49
"Nestle Kit Kat Milk & Cocoa 41, G",10.49
"Knorr Gravy ROAST MEAT 26, G",14.99
"Bovril Meat & Veg Extract Spread 125, G",32.99
"Liquifruit Juice Cranberry 1, L",18.99
"Rhodes Fruit Juice Tropical 2, L",44.99
"Ceres Juice Carton Orange 6Pk 200, ML",48.99
"Halls Juice Concentrate  Peach & Apricot 1,25 L",30.99
"Willards Cheas Naks Cheese 40, G",5.99
"Coca Cola No-Sugar-Caffeine 2,25 L",21.99
"Great Value Shredded Tuna in Veg Oil 170, G",15.99
"Steers Sauce Burger Relish 375, ML",29.99
Rhodes Fruit Juice Apple 2 L,44.99
"Liquifruit 100% Fruit Juice Blend Re 1,5 L",34.99
"Lays Salted 36, G",7.49
"Lays Salted 120, G",19.99
"Niknaks Salty Snack CHEESE 135, G",10.99
"Red Bull Energy Drink Sugar Free 355, ML",22.99
"Twist Lemon Soft Drink Plastic Bottle 2, L",17.0
"Fanta Orange 1,5 L",15.0
"Miami Hot Vegetable Atchar 380, G",34.99
"Rhodes Canned Baked Beans In Tomato Sauce 410, G",12.49
