Product Name,2021-10-30,2021-10-31,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
Excella Sunflower Oil (1 x 2L),59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
Tastic Parboiled Rice (1 x 1kg),16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Rhodes Jam Apricot (1 x 460g),37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95,37.95
Rhodes Chakalaka With Beans (1 x 400g),17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85,17.85
White Star Super Maize Meal (1 x 12.5kg),95.0,95.0,95.0,95.0,95.0,104.95,104.95,104.95,89.95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,114.95,90.0
Tastic Long Grain Rice White Soft And Absorbing (1 x 2kg),32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95,32.95
Pasta Grande Spaghetti (1 x 1kg),23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95,23.95
Pasta Grande Screws (1 x 500g),13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95,13.95
Cadbury LunchBar Chocolate Bars (1 x 1's),10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,,,,,,,,,,,,,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45
Beyers Amarula Chocolate Milk (1 x 110g),79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95
Moir's Custard Powder (1 x 500g),31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45,31.45
Lucky Star Pilchards in Tomato Sauce (1 x 400g),,,,,,,,,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.95,20.95,20.95,20.95,20.95,20.95
Lucky Star Pilchards in Chilli Sauce (1 x 400g),,,,,,,,,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.95,20.95,20.95,20.95,20.95,20.95
KOO Tomato Paste Sachet (24 x 100g),,,,,,,,,,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95,198.95
KOO Baked Beans In Tomato Sauce (6 x 215g),,,,,,,,,,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95,58.95
Black Cat Peanut Butter (No Additional Sugar & Salt) Crunchy (1 x 800g),,,,,,,,,,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95,63.95
Black Cat Peanut Butter (No Additional Sugar & Salt) Smooth (1 x 800g),,,,,,,,,,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95,62.95
Rhodes Gerkins In Dill Sliced (1 x 3kg),,,,,,,,,,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85,106.85
Rhodes Tomato and Onion Mix (1 x 3kg),,,,,,,,,,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95,94.95
