Product Name,2021-11-27
Excella Sunflower Oil (1 x 2L),55.95
Tastic Parboiled Rice (1 x 1kg),16.25
Rhodes Jam Apricot (1 x 460g),37.95
Rhodes Chakalaka With Beans (1 x 400g),17.85
White Star Super Maize Meal (1 x 12.5kg),95.0
Tastic Long Grain Rice White Soft And Absorbing (1 x 2kg),32.95
Pasta Grande Spaghetti (1 x 1kg),23.95
Pasta Grande Screws (1 x 500g),13.95
nan,nan
Beyers Amarula Chocolate Milk (1 x 110g),79.95
Moir's Custard Powder (1 x 500g),31.45
Lucky Star Pilchards in Tomato Sauce (1 x 400g),19.0
Lucky Star Pilchards in Chilli Sauce (1 x 400g),19.0
KOO Tomato Paste Sachet (24 x 100g),195.0
KOO Baked Beans In Tomato Sauce (6 x 215g),58.95
Black Cat Peanut Butter (No Additional Sugar & Salt) Crunchy (1 x 800g),63.95
Black Cat Peanut Butter (No Additional Sugar & Salt) Smooth (1 x 800g),62.95
Rhodes Gerkins In Dill Sliced (1 x 3kg),106.85
Rhodes Tomato and Onion Mix (1 x 3kg),94.95
Rhodes Baked Beans In Tomato Sauce Sauce (1 x 3kg),89.95
Rhodes Butter Beans (1 x 3kg),98.95
Miami Mango Atchar Hot (6 x 2kg),737.95
Royco Pasta Base Bacon Carbonari (1 x 200g),25.45
Royco Pasta Base Macaroni and Cheese (1 x 200g),25.45
Royco Pasta Base Tomato and Basil (1 x 200g),25.45
Royco Pasta Base Bolognaise (1 x 200g),25.45
Royco Pasta Base Savoury Mince (1 x 200g),25.45
Melrose Cheese Spread (All Variants) (1 x 250g),34.95
Melrose Cheese Spread (All Variants) (1 x 250g),34.95
Rhodes Peaches in Syrup Slices (1 x 3.06kg),109.95
Rhodes Tomato Paste Sachet (30 x 50g),136.85
Old El Paso Tortillas (1 x 326g),80.45
Miami Boerie Relish (All Variants) (1 x 450g),15.25
Bull Brand Corned Meat (All variants) (1 x 300g),19.95
Lucky Star Shredded Tuna in Water (1 x 170 g),17.95
Lucky Star Shredded Tuna in Vegetable Oil (1 x 170 g),17.95
Sea Pride Pilchards in Chilli Sauce (1 x 400g),19.95
Miami Cucumbers Sweet & Tangy Cucumbers (1 x 2.9kg),76.95
Miami Whole Peeled Tomato (1 x 3kg),104.95
Tuna Marine Olives Calamata (1 x 3.05kg),237.95
Smash Instant Mash Potato Garlic & Butter (1 x 104g),19.45
KOO Vegetable Curry (12 x 420g),198.95
Helderberg Peas (1 x 410g),13.25
Lucky Star Pilchards in Tomato Sauce (24 x 215g),325.75
First Value Mixed Vegetable (12 x 410g),111.95
Buffet Olives Calamata (1 x 3.05kg),169.95
First Value Chakalaka Hot (12 x 410g),120.45
First Value Tomatoes Whole Peeled (1 x 410g),13.95
Lucky Star Texan Corned Meat Hot Chilli (6 x 300g),109.95
Top One Corned Meat Regular (1 x 300g),22.95
Stavros Olives Calamata (1 x 3.05kg),184.95
Jutland Sardines (1 x 106g),17.2
Old El Paso Mild Cheesy Enchilada (1 x 663g),108.45
Rhodes Cream Style Sweetcorn (1 x 410g),17.85
Lucky Star Sardines Vegetable in Oil (1 x 120 g),15.95
Ina Paarman Ready To Serve Sauce Roast Chicken Gravy (1 X 200ml),27.95
