Product Name,2021-10-17,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-01,2021-11-03,2021-11-04,2021-11-05,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-17
PnP UHT Full Cream Milk 1l x 6,79.99,74.34,79.99,74.34,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,79.99,74.33,79.99,79.99
Sasko Premium Brown Sliced Bread 700g,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49,13.49
Jacobs Kronung Instant Coffee 200g,116.99,116.99,116.99,82.57,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,116.99,82.57,116.99,116.99
PnP Chicken Viennas 1kg,89.99,89.99,89.99,89.99,89.99,89.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99,82.99
PnP Avocado 4s,55.99,55.99,55.99,44.44,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,44.44,44.44,74.99,74.99
PnP English Tomatoes 1kg,24.99,18.74,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,21.99,18.74,18.74,19.99
PnP Onions 2kg,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99
PnP Carrots 1kg,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99
PnP Potatoes 7kg,94.99,94.99,94.99,61.0,84.99,84.99,84.99,84.99,79.99,79.99,79.99,79.99,79.99,79.99,61.0,69.99,69.99,69.99,69.99,69.99,69.99,69.99,59.99,61.0,61.0,54.99,54.99
Danone Nutriday Smooth Low Fat Vanilla Yoghurt 6x100g,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
