Product Name,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-10-30,2021-10-31,2021-11-06,2021-11-07,2021-11-08,2021-11-13,2021-11-14,2021-11-15,2021-11-16,2021-11-18,2021-11-19,2021-11-20,2021-11-21,2021-11-22,2021-11-23,2021-11-24,2021-11-25,2021-11-26,2021-11-27,2021-11-28,2021-11-29,2021-12-30,2021-12-01,2021-12-02,2021-12-03,2021-12-04,2021-12-05,2021-12-06,2021-12-07,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22
SPAR CANOLA OIL 2L 2L,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49,55.49
CLOVER MILK UHT F/C  PRIS 1L,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
A/SCENTS AUTO REF WILD AP 250ML,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99
A/G JAM S/FINE APRICT 450G,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99
SURF HANDWASH FLEXI 3KG,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99,61.99
CLASSIC YOG VAN CREMES 6'S,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
C/FAIR C/BLEU STEAKLETS 360GR,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,48.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99,51.99
CLOVER CHEDDAR PROC IWS 810GR,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99,108.99
CADBURY SLAB BISCUIT 80GR,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
CLOVER MILK UHT F/C  PRIS 1L,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99
