Product Name,2021-11-18
SPAR CANOLA OIL 2L 2L,55.49
CLOVER MILK UHT F/C  PRIS 1L,15.99
A/SCENTS AUTO REF WILD AP 250ML,46.99
A/G JAM S/FINE APRICT 450G,25.99
SURF HANDWASH FLEXI 3KG,61.99
CLASSIC YOG VAN CREMES 6'S,18.99
C/FAIR C/BLEU STEAKLETS 360GR,51.99
CLOVER CHEDDAR PROC IWS 810GR,108.99
CADBURY SLAB BISCUIT 80GR,15.99
CLOVER MILK UHT F/C  PRIS 1L,15.99
FERRERO ROCHER T30 375GM,161.45
C/FRESH I/CRM NEAPOLITAN 2LT,55.99
CLOVER KRUSH 100% 6 FRTS&WHEAT 1.5L,34.99
KOO BAKED BEANS TOM&HERB 410GR,15.99
SPAR SUGAR BROWN POLYETHYLENE 2KG,38.99
SELATI WHITE SUGAR  KKVI 2.5KG,49.99
G/CLOUD CAKE FLOUR PAP 2.5KG,33.99
S/COATING ORIGINAL 200GR,19.99
COKE 2LT,23.49
SPAR XL GRAIN FED EGGS 18'S,32.99
B/SOFT T/PAPER WHITE 2PLY 18'S,119.99
J&J BABY POWDER. 400G,48.99
RAINBOW CHICKEN LIVER TUBS 250GR,10.99
SPAR IQF CHKN MIX PORTION 5KG,199.99
SPAR TUNA SHREDDED BRINE 170GR,16.99
SPAR TUNA SHREDDED BRINE 170GR,16.99
B/BRAND CORNED MEAT IN CEREAL 300GR,29.99
SPAR PILCHARDS IN TOMATO 400GR,17.99
LUCKYSTAR PILCHARDS TOMATO 400GR,22.99
G/L COUNTER BK 1QU A4 96P 1S,17.99
HTH  4 WEEKS CLEAR 1.2KG,129.99
ACADEMY SHOEBRSH BLACK 1S,11.99
F/L ROTI 6'S,36.99
F/L WHITE TOASTER 700GR,12.99
FRESH BAKE PREMIUM BROWN 700G 700G,11.99
SASKO BRD WHT LW GI AIO 700GR,18.49
FRESHLINE BANANA BAG 750gr,21.99
FRESHLINE POTATOES 2KG,34.99
FRESHLINE CARROTS 1KG,9.99
FRESHLINE ONIONS UNPEELED 1KG,12.99
FRESHLINE CRISP LETTUCE HEADS 1HEAD,12.99
FRESHLINE POTATOES 4KG,59.99
FRESHLINE GREEN BEANS 350G,16.99
FRESHLINE CHERRY TOMATOES 250G,14.99
FRESHLINE GREEN PEPPERS 2'S,14.99
FRESHLINE PORTABELLINI MUSHROOM 250GR,15.99
COCA COLA ORIGINAL 2LT,23.49
SPARLETTA CREME SODA 2LT,16.99
COCA COLA ORIGINAL 1.5LT,16.49
SPAR COCO PINE FLAVOURED SOFT DRINK 2LT,11.99
CROWN BBQ SIX GUN GRILL 200GR,24.99
ESKORT RUSSIANS 500GR,54.99
SPAR COLD MEAT BACON&CHSE 200GR,21.99
SPAR POLONY FRENCH 1KG,29.99
F/L HAMBURGER ROLLS 6'S,16.99
JACOBS KRONUNG RICH AROMA 200GR,109.99
